transect,deployment,date,time,depth_m,lat,lon,notes
18,1,2021-07-01,1435,3.5,48.53569,-122.9978,
18,2,2021-07-01,1440,30+,48.53560,-122.99751,"steep dropoff, lowered to 30m couldnâ€™t feel bottom"
33,1,2021-07-01,1445,8.25,48.53617,-122.99773,
33,2,2021-07-01,1448,13.5,48.53621,-122.99760,
33,3,2021-07-01,1451,16.5,48.53621,-122.99737,
13,1,2021-07-01,1458,7.0,48.53684,-122.99848,
13,2,2021-07-01,1502,16.25,48.53712,-122.99836,"single bull kelp, possibly attached"
13,3,2021-07-01,1506,30+,48.53760,-122.99778,
10,1,2021-07-01,1514,2.5,48.53780,-123.00055,"a couple of small bull kelp, possibly attached, could see bottom"
10,2,2021-07-01,1518,4.25,48.53807,-123.00050,
10,3,2021-07-01,1521,7.0,48.53837,-123.00012,floating Zostera marine with Smithora
10,4,2021-07-01,1528,7.0,48.53844,-122.99999,
10,5,2021-07-01,1533,9.25,48.53860,-122.99969,
7,1,2021-07-01,1537,6.0,48.53897,-123.00117,
7,2,2021-07-01,1531,14.0,48.53927,-123.00085,
7,3,2021-07-07,1440,27.5,48.53948,-123.00065,
3 ,1,2021-07-07,1446,11.25,48.53994,-123.00298,
3 ,2,2021-07-07,1448,20.0,48.54011,-123.00277,
3 ,3,2021-07-07,1453,22.0,48.54028,-123.00256,
1 ,1,2021-07-07,1458,8.75,48.54038,-123.00393,
1 ,2,2021-07-07,1459,18.5,48.54065,-123.00375,Desmarestia sp. caught on frame
1 ,3,2021-07-07,1505,26.0,48.54081,-123.00352,
34,1,2021-07-07,1510,2.25,48.54082,-123.00506,Z. marina caught on frame
34,2,2021-07-07,1513,10.75,48.54110,-123.00481,
34,3,2021-07-07,1519,21.5,48.54139,-123.00473,
32,1,2021-07-07,1523,2.25,48.54100,-123.00595,
32,2,2021-07-07,1527,7.5,48.54120,-123.00583,
32,3,2021-07-07,1529,9.5,48.54146,-123.00580,
32,4,2021-07-07,1532,18.25,48.54169,-123.00579,got stuck for a while
31,1,2021-07-07,1542,4.25,48.54112,-123.00657,
31,2,2021-07-07,1545,7.5,48.54128,-123.00652,
31,3,2021-07-07,1548,10.0,48.54158,-123.00668,
31,4,2021-07-07,1552,17.0,48.54199,-123.00677,
